month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
11,2560,19884,17875.32,14,25,30,28,1
12,2560,17227,17875.32,14,20,29,26,1
1,2561,18711,17875.32,14,22,30,27,1
2,2561,21628,17875.32,14,23,30,27,1
3,2561,20055,17875.32,14,24,31,29,1
4,2561,20535,17875.32,14,24,32,29,1
5,2561,20419,17875.32,14,28,31,29,1
6,2561,19082,17875.32,14,26,31,30,0
7,2561,19244,17875.32,14,27,30,29,0
8,2561,21294,17875.32,14,27,30,29,1
9,2561,18408,17875.32,14,27,31,29,1
10,2561,25440,17875.32,14,27,31,29,1
11,2561,24439,17875.32,14,26,31,29,1
12,2561,17731,17875.32,14,26,30,28,1
1,2556,30124,10235.45,14,26,30,28,1
2,2556,30010,10235.45,14,28,32,30,1
3,2556,24679,10235.45,14,24,34,31,0
4,2556,24000,10235.45,14,29,34,32,0
5,2556,19304,10235.45,14,30,34,32,0
6,2556,28842,10235.45,14,28,32,30,1
7,2556,28842,10235.45,14,28,32,30,1
8,2556,17068,10235.45,14,28,31,30,1
9,2556,14179,10235.45,14,24,32,29,1
10,2556,11125,10235.45,14,26,31,29,0
11,2556,29862,10235.45,14,26,31,30,1
12,2556,29500,10235.45,14,21,30,25,1
1,2557,18394,10235.45,14,21,28,25,1
2,2557,29553,10235.45,14,24,29,28,1
3,2557,29553,10235.45,14,27,32,30,1
4,2557,29553,10235.45,14,29,33,31,1
5,2557,29553,10235.45,14,29,33,31,1
6,2557,29553,10235.45,14,28,32,30,0
7,2557,23072,10235.45,14,27,32,30,0
8,2557,23072,10235.45,14,27,31,29,1
9,2557,14590,10235.45,14,28,31,29,1
10,2557,19588,10235.45,14,27,29,29,1
11,2557,8389,10235.45,14,26,31,29,1
12,2557,10575,10235.45,14,24,29,27,1
1,2558,11847,10235.45,14,23,29,26,1
2,2558,13743,10235.45,14,26,31,28,1
3,2558,13743,10235.45,14,27,31,30,1
4,2558,10738,10235.45,14,27,33,30,1
5,2558,14530,10235.45,14,29,32,31,1
6,2558,8683,10235.45,14,29,33,30,0
7,2558,9885,10235.45,14,28,32,30,0
8,2558,6151,10235.45,14,27,32,30,1
9,2558,5313,10235.45,14,26,31,29,1
10,2558,6151,10235.45,14,27,30,29,1
11,2558,6151,10235.45,14,28,31,29,1
12,2558,6151,10235.45,14,24,31,28,1
1,2559,6151,10235.45,14,18,31,27,1
2,2559,6151,10235.45,14,20,30,28,1
3,2559,6151,10235.45,14,27,33,31,1
4,2559,6151,10235.45,14,29,34,32,1
5,2559,6151,10235.45,14,29,34,32,1
6,2559,6151,10235.45,14,27,32,29,0
7,2559,6151,10235.45,14,28,31,29,0
8,2559,6151,10235.45,14,29,31,30,1
9,2559,6151,10235.45,14,27,31,29,1
10,2559,6151,10235.45,14,27,30,29,1
11,2559,6151,10235.45,14,27,31,29,1
12,2559,6151,10235.45,14,24,30,27,1
1,2560,6151,10235.45,14,26,29,27,1
2,2560,6753,10235.45,14,24,31,28,1
3,2560,7106,10235.45,14,27,32,30,1
4,2560,5486,10235.45,14,28,33,31,1
5,2560,7489,10235.45,14,27,32,30,1
6,2560,7594,10235.45,14,28,31,29,0
7,2560,5361,10235.45,14,27,31,29,0
8,2560,13768,10235.45,14,27,31,29,1
9,2560,26883,10235.45,14,28,31,29,1
10,2560,22556,10235.45,14,26,31,28,1
11,2560,22597,10235.45,14,25,30,28,1
12,2560,17998,10235.45,14,20,29,26,1
1,2561,21232,10235.45,14,22,30,27,1
2,2561,23096,10235.45,14,23,30,27,1
3,2561,20929,10235.45,14,24,31,29,1
4,2561,21797,10235.45,14,24,32,29,1
5,2561,22662,10235.45,14,28,31,29,1
6,2561,19774,10235.45,14,26,31,30,0
7,2561,18963,10235.45,14,27,30,29,0
8,2561,21446,10235.45,14,27,30,29,1
9,2561,20253,10235.45,14,27,31,29,1
10,2561,28517,10235.45,14,27,31,29,1
11,2561,26576,10235.45,14,26,31,29,1
12,2561,19630,10235.45,14,26,30,28,1
