month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
9,2560,9000.00,1420.76,2,28,31,29,1
10,2560,9600.00,1420.76,2,26,31,28,1
11,2560,8760.00,1420.76,2,25,30,28,1
12,2560,8640.00,1420.76,2,20,29,26,1
1,2561,3360.00,1420.76,2,22,30,27,1
2,2561,2280.00,1420.76,2,23,30,27,1
3,2561,6480.00,1420.76,2,24,31,29,1
4,2561,9840.00,1420.76,2,24,32,29,1
5,2561,8760.00,1420.76,2,28,31,29,1
6,2561,9480.00,1420.76,2,26,31,30,0
7,2561,10800.00,1420.76,2,27,30,29,0
8,2561,10800.00,1420.76,2,27,30,29,1
9,2561,11160.00,1420.76,2,27,31,29,1
10,2561,7800.00,1420.76,2,27,31,29,1
11,2561,8400.00,1420.76,2,26,31,29,1
12,2561,7680.00,1420.76,2,26,30,28,1
1,2556,110240.00,2665.17,4,26,30,28,1
2,2556,112080.00,2665.17,4,28,32,30,1
3,2556,87287.00,2665.17,4,24,34,31,0
4,2556,102264.00,2665.17,4,29,34,32,0
5,2556,103886.00,2665.17,4,30,34,32,0
6,2556,116807.00,2665.17,4,28,32,30,1
7,2556,83527.00,2665.17,4,28,32,30,1
8,2556,80649.00,2665.17,4,28,31,30,1
9,2556,113144.00,2665.17,4,24,32,29,1
10,2556,66955.00,2665.17,4,26,31,29,0
11,2556,65772.00,2665.17,4,26,31,30,1
12,2556,80415.00,2665.17,4,21,30,25,1
1,2557,86535.00,2665.17,4,21,28,25,1
2,2557,99859.00,2665.17,4,24,29,28,1
3,2557,114548.00,2665.17,4,27,32,30,1
4,2557,120601.00,2665.17,4,29,33,31,1
5,2557,75196.00,2665.17,4,29,33,31,1
6,2557,62107.00,2665.17,4,28,32,30,0
7,2557,118037.00,2665.17,4,27,32,30,0
8,2557,119177.00,2665.17,4,27,31,29,1
9,2557,125136.00,2665.17,4,28,31,29,1
10,2557,54331.00,2665.17,4,27,29,29,1
11,2557,92361.00,2665.17,4,26,31,29,1
12,2557,91309.00,2665.17,4,24,29,27,1
1,2558,72743.00,2665.17,4,23,29,26,1
2,2558,71770.00,2665.17,4,26,31,28,1
3,2558,71201.00,2665.17,4,27,31,30,1
4,2558,73292.00,2665.17,4,27,33,30,1
5,2558,94120.00,2665.17,4,29,32,31,1
6,2558,97000.00,2665.17,4,29,33,30,0
7,2558,88240.00,2665.17,4,28,32,30,0
8,2558,169273.00,2665.17,4,27,32,30,1
9,2558,51125.00,2665.17,4,26,31,29,1
10,2558,62512.00,2665.17,4,27,30,29,1
11,2558,67833.00,2665.17,4,28,31,29,1
12,2558,82880.00,2665.17,4,24,31,28,1
1,2559,50402.00,2665.17,4,18,31,27,1
2,2559,61576.00,2665.17,4,20,30,28,1
3,2559,77089.00,2665.17,4,27,33,31,1
4,2559,79522.00,2665.17,4,29,34,32,1
5,2559,84391.00,2665.17,4,29,34,32,1
6,2559,77725.00,2665.17,4,27,32,29,0
7,2559,43780.00,2665.17,4,28,31,29,0
8,2559,59345.00,2665.17,4,29,31,30,1
9,2559,64270.00,2665.17,4,27,31,29,1
10,2559,69489.00,2665.17,4,27,30,29,1
11,2559,75543.00,2665.17,4,27,31,29,1
12,2559,61830.00,2665.17,4,24,30,27,1
1,2560,57829.00,2665.17,4,26,29,27,1
2,2560,67966.00,2665.17,4,24,31,28,1
