month,year,usage,area,floor,minTemp,maxTemp,avgTemp,semester
12,2561,549,325.39,3,26,30,28,1
1,2556,331,1216.70,5,26,30,28,1
2,2556,386,1216.70,5,28,32,30,1
3,2556,704,1216.70,5,24,34,31,0
4,2556,397,1216.70,5,29,34,32,0
5,2556,375,1216.70,5,30,34,32,0
6,2556,395,1216.70,5,28,32,30,1
7,2556,338,1216.70,5,28,32,30,1
8,2556,345,1216.70,5,28,31,30,1
9,2556,414,1216.70,5,24,32,29,1
10,2556,446,1216.70,5,26,31,29,0
11,2556,336,1216.70,5,26,31,30,1
12,2556,1074,1216.70,5,21,30,25,1
1,2557,1317,1216.70,5,21,28,25,1
2,2557,1314,1216.70,5,24,29,28,1
3,2557,1588,1216.70,5,27,32,30,1
4,2557,732,1216.70,5,29,33,31,1
5,2557,751,1216.70,5,29,33,31,1
6,2557,814,1216.70,5,28,32,30,0
7,2557,763,1216.70,5,27,32,30,0
8,2557,664,1216.70,5,27,31,29,1
9,2557,700,1216.70,5,28,31,29,1
10,2557,763,1216.70,5,27,29,29,1
11,2557,742,1216.70,5,26,31,29,1
12,2557,805,1216.70,5,24,29,27,1
1,2558,824,1216.70,5,23,29,26,1
2,2558,921,1216.70,5,26,31,28,1
3,2558,999,1216.70,5,27,31,30,1
4,2558,921,1216.70,5,27,33,30,1
5,2558,942,1216.70,5,29,32,31,1
6,2558,850,1216.70,5,29,33,30,0
7,2558,1082,1216.70,5,28,32,30,0
8,2558,801,1216.70,5,27,32,30,1
9,2558,799,1216.70,5,26,31,29,1
10,2558,682,1216.70,5,27,30,29,1
11,2558,955,1216.70,5,28,31,29,1
12,2558,1116,1216.70,5,24,31,28,1
1,2559,1213,1216.70,5,18,31,27,1
2,2559,299,1216.70,5,20,30,28,1
3,2559,365,1216.70,5,27,33,31,1
4,2559,322,1216.70,5,29,34,32,1
5,2559,430,1216.70,5,29,34,32,1
6,2559,470,1216.70,5,27,32,29,0
7,2559,490,1216.70,5,28,31,29,0
8,2559,395,1216.70,5,29,31,30,1
9,2559,390,1216.70,5,27,31,29,1
10,2559,388,1216.70,5,27,30,29,1
11,2559,379,1216.70,5,27,31,29,1
12,2559,393,1216.70,5,24,30,27,1
1,2560,398,1216.70,5,26,29,27,1
2,2560,453,1216.70,5,24,31,28,1
3,2560,573,1216.70,5,27,32,30,1
4,2560,501,1216.70,5,28,33,31,1
5,2560,577,1216.70,5,27,32,30,1
6,2560,577,1216.70,5,28,31,29,0
7,2560,545,1216.70,5,27,31,29,0
8,2560,533,1216.70,5,27,31,29,1
9,2560,438,1216.70,5,28,31,29,1
10,2560,423,1216.70,5,26,31,28,1
11,2560,573,1216.70,5,25,30,28,1
12,2560,573,1216.70,5,20,29,26,1
2,2561,559,1216.70,5,23,30,27,1
3,2561,706,1216.70,5,24,31,29,1
4,2561,631,1216.70,5,24,32,29,1
5,2561,607,1216.70,5,28,31,29,1
6,2561,654,1216.70,5,26,31,30,0
7,2561,617,1216.70,5,27,30,29,0
8,2561,592,1216.70,5,27,30,29,1
9,2561,518,1216.70,5,27,31,29,1
10,2561,544,1216.70,5,27,31,29,1
11,2561,790,1216.70,5,26,31,29,1
12,2561,877,1216.70,5,26,30,28,1
1,2556,21000,3944.64,5,26,30,28,1
2,2556,23000,3944.64,5,28,32,30,1
3,2556,28000,3944.64,5,24,34,31,0
4,2556,22000,3944.64,5,29,34,32,0
5,2556,29000,3944.64,5,30,34,32,0
6,2556,21000,3944.64,5,28,32,30,1
7,2556,22000,3944.64,5,28,32,30,1
8,2556,25000,3944.64,5,28,31,30,1
9,2556,19000,3944.64,5,24,32,29,1
10,2556,24000,3944.64,5,26,31,29,0
11,2556,22000,3944.64,5,26,31,30,1
12,2556,18000,3944.64,5,21,30,25,1
1,2557,15000,3944.64,5,21,28,25,1
2,2557,11000,3944.64,5,24,29,28,1
3,2557,18000,3944.64,5,27,32,30,1
4,2557,21000,3944.64,5,29,33,31,1
5,2557,23000,3944.64,5,29,33,31,1
6,2557,19000,3944.64,5,28,32,30,0
7,2557,25000,3944.64,5,27,32,30,0
8,2557,23000,3944.64,5,27,31,29,1
9,2557,23000,3944.64,5,28,31,29,1
10,2557,26000,3944.64,5,27,29,29,1
11,2557,25000,3944.64,5,26,31,29,1
12,2557,23000,3944.64,5,24,29,27,1
1,2558,15000,3944.64,5,23,29,26,1
2,2558,21000,3944.64,5,26,31,28,1
3,2558,28000,3944.64,5,27,31,30,1
4,2558,24000,3944.64,5,27,33,30,1
5,2558,22000,3944.64,5,29,32,31,1
6,2558,21000,3944.64,5,29,33,30,0
7,2558,26000,3944.64,5,28,32,30,0
8,2558,24000,3944.64,5,27,32,30,1
9,2558,20000,3944.64,5,26,31,29,1
10,2558,18000,3944.64,5,27,30,29,1
11,2558,19000,3944.64,5,28,31,29,1
12,2558,20000,3944.64,5,24,31,28,1
1,2559,21000,3944.64,5,18,31,27,1
3,2559,24000,3944.64,5,27,33,31,1
4,2559,24000,3944.64,5,29,34,32,1
5,2559,27000,3944.64,5,29,34,32,1
6,2559,23000,3944.64,5,27,32,29,0
7,2559,22000,3944.64,5,28,31,29,0
8,2559,24000,3944.64,5,29,31,30,1
9,2559,21000,3944.64,5,27,31,29,1
10,2559,23000,3944.64,5,27,30,29,1
11,2559,25000,3944.64,5,27,31,29,1
12,2559,21000,3944.64,5,24,30,27,1
1,2560,21000,3944.64,5,26,29,27,1
2,2560,24000,3944.64,5,24,31,28,1
3,2560,26000,3944.64,5,27,32,30,1
4,2560,24000,3944.64,5,28,33,31,1
5,2560,27000,3944.64,5,27,32,30,1
6,2560,27000,3944.64,5,28,31,29,0
7,2560,26000,3944.64,5,27,31,29,0
8,2560,27000,3944.64,5,27,31,29,1
9,2560,24000,3944.64,5,28,31,29,1
10,2560,25000,3944.64,5,26,31,28,1
11,2560,23000,3944.64,5,25,30,28,1
12,2560,23000,3944.64,5,20,29,26,1
1,2561,23000,3944.64,5,22,30,27,1
2,2561,21000,3944.64,5,23,30,27,1
3,2561,27000,3944.64,5,24,31,29,1
4,2561,21000,3944.64,5,24,32,29,1
5,2561,28000,3944.64,5,28,31,29,1
6,2561,26000,3944.64,5,26,31,30,0
7,2561,26000,3944.64,5,27,30,29,0
8,2561,26000,3944.64,5,27,30,29,1
9,2561,25000,3944.64,5,27,31,29,1
10,2561,21000,3944.64,5,27,31,29,1
11,2561,27000,3944.64,5,26,31,29,1
12,2561,22000,3944.64,5,26,30,28,1
1,2556,32800,6403.95,4,26,30,28,1
2,2556,29760,6404.95,5,28,32,30,1
3,2556,32800,6405.95,6,24,34,31,0
4,2556,30720,6406.95,7,29,34,32,0
5,2556,39840,6407.95,8,30,34,32,0
6,2556,34240,6408.95,9,28,32,30,1
7,2556,32320,6409.95,10,28,32,30,1
8,2556,37440,6410.95,11,28,31,30,1
9,2556,32480,6411.95,12,24,32,29,1
10,2556,34720,6412.95,13,26,31,29,0
11,2556,39840,6413.95,14,26,31,30,1
12,2556,24960,6414.95,15,21,30,25,1
1,2557,28000,6415.95,16,21,28,25,1
2,2557,55200,6416.95,17,24,29,28,1
3,2557,34080,6417.95,18,27,32,30,1
4,2557,30880,6418.95,19,29,33,31,1
5,2557,33280,6419.95,20,29,33,31,1
6,2557,36000,6420.95,21,28,32,30,0
7,2557,44320,6421.95,22,27,32,30,0
8,2557,31200,6422.95,23,27,31,29,1
9,2557,34080,6423.95,24,28,31,29,1
10,2557,35840,6424.95,25,27,29,29,1
11,2557,36480,6425.95,26,26,31,29,1
12,2557,32400,6426.95,27,24,29,27,1
1,2558,32400,6427.95,28,23,29,26,1
2,2558,32800,6428.95,29,26,31,28,1
3,2558,36320,6429.95,30,27,31,30,1
4,2558,32480,6430.95,31,27,33,30,1
5,2558,32480,6431.95,32,29,32,31,1
6,2558,37440,6432.95,33,29,33,30,0
7,2558,40320,6433.95,34,28,32,30,0
8,2558,32000,6434.95,35,27,32,30,1
9,2558,34720,6435.95,36,26,31,29,1
10,2558,34720,6436.95,37,27,30,29,1
11,2558,36160,6437.95,38,28,31,29,1
12,2558,32800,6438.95,39,24,31,28,1
1,2559,31680,6439.95,40,18,31,27,1
2,2559,32640,6440.95,41,20,30,28,1
3,2559,41440,6441.95,42,27,33,31,1
4,2559,30080,6442.95,43,29,34,32,1
5,2559,32480,6443.95,44,29,34,32,1
