month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
6,2556,24000,3508.12,5,11,28,32,30,1
7,2556,22000,3508.12,5,11,28,32,30,1
8,2556,23000,3508.12,5,11,28,31,30,1
9,2556,22000,3508.12,5,11,24,32,29,1
10,2556,22000,3508.12,5,11,26,31,29,0
11,2556,21000,3508.12,5,11,26,31,30,1
12,2556,18000,3508.12,5,11,21,30,25,1
1,2557,20000,3508.12,5,11,21,28,25,1
2,2557,18000,3508.12,5,11,24,29,28,1
3,2557,26000,3508.12,5,11,27,32,30,1
4,2557,20000,3508.12,5,11,29,33,31,1
5,2557,22000,3508.12,5,11,29,33,31,1
6,2557,22000,3508.12,5,11,28,32,30,0
7,2557,22000,3508.12,5,11,27,32,30,0
8,2557,25000,3508.12,5,11,27,31,29,1
9,2557,26000,3508.12,5,11,28,31,29,1
10,2557,25000,3508.12,5,11,27,29,29,1
11,2557,23000,3508.12,5,11,26,31,29,1
12,2557,22000,3508.12,5,11,24,29,27,1
1,2558,22000,3508.12,5,11,23,29,26,1
2,2558,23000,3508.12,5,11,26,31,28,1
3,2558,25000,3508.12,5,11,27,31,30,1
4,2558,22000,3508.12,5,11,27,33,30,1
5,2558,23000,3508.12,5,11,29,32,31,1
6,2558,23000,3508.12,5,11,29,33,30,0
7,2558,24000,3508.12,5,11,28,32,30,0
8,2558,24000,3508.12,5,11,27,32,30,1
9,2558,24000,3508.12,5,11,26,31,29,1
10,2558,25000,3508.12,5,11,27,30,29,1
11,2558,25000,3508.12,5,11,28,31,29,1
12,2558,22000,3508.12,5,11,24,31,28,1
1,2559,21000,3508.12,5,11,18,31,27,1
2,2559,22000,3508.12,5,11,20,30,28,1
3,2559,26000,3508.12,5,11,27,33,31,1
4,2559,23000,3508.12,5,11,29,34,32,1
5,2559,24000,3508.12,5,11,29,34,32,1
6,2559,25000,3508.12,5,11,27,32,29,0
7,2559,23000,3508.12,5,11,28,31,29,0
8,2559,25000,3508.12,5,11,29,31,30,1
9,2559,23000,3508.12,5,11,27,31,29,1
10,2559,22000,3508.12,5,11,27,30,29,1
11,2559,23000,3508.12,5,11,27,31,29,1
12,2559,22000,3508.12,5,11,24,30,27,1
1,2560,20000,3508.12,5,11,26,29,27,1
2,2560,21000,3508.12,5,11,24,31,28,1
3,2560,26000,3508.12,5,11,27,32,30,1
4,2560,21000,3508.12,5,11,28,33,31,1
5,2560,24000,3508.12,5,11,27,32,30,1
6,2560,23000,3508.12,5,11,28,31,29,0
7,2560,22000,3508.12,5,11,27,31,29,0
8,2560,24000,3508.12,5,11,27,31,29,1
9,2560,23000,3508.12,5,11,28,31,29,1
10,2560,20000,3508.12,5,11,26,31,28,1
11,2560,23000,3508.12,5,11,25,30,28,1
12,2560,20000,3508.12,5,11,20,29,26,1
1,2561,19000,3508.12,5,11,22,30,27,1
2,2561,20000,3508.12,5,11,23,30,27,1
3,2561,23000,3508.12,5,11,24,31,29,1
4,2561,19000,3508.12,5,11,24,32,29,1
